,vic_x,vic_y,sept2014JanMaxTemp_0,sept2014JanRainfall_0,sept2014JulMinTemp_0,sept2014JulRainfall_0,VMLITE_BUILT_UP_AREA,VMLITE_FOREST_SU2,VMLITE_HY_WATER_AREA,VMLITE_PUBLIC_LAND_SU3
0,2128000.0,2258000.0,222.60360717773438,-29.765600204467773,100.7656021118164,-29.765600204467773,False,False,False,False
1,2138531.64556962,2258000.0,222.76559448242188,-29.765600204467773,100.7656021118164,-29.765600204467773,False,False,False,False
2,2149063.2911392404,2258000.0,223.76559448242188,-29.765600204467773,99.7656021118164,-29.765600204467773,False,False,False,False
3,2159594.9367088606,2258000.0,223.90350341796875,-29.765600204467773,99.7656021118164,-29.765600204467773,False,False,False,False
4,2170126.582278481,2258000.0,224.76559448242188,-29.765600204467773,98.7656021118164,-29.765600204467773,False,False,False,False
5,2180658.2278481014,2258000.0,224.76739501953125,-29.765600204467773,98.7656021118164,-29.765600204467773,False,False,False,False
6,2191189.8734177216,2258000.0,225.76559448242188,-29.765600204467773,97.7656021118164,-29.765600204467773,False,False,False,False
7,2201721.518987342,2258000.0,225.76559448242188,-29.765600204467773,97.7656021118164,-29.765600204467773,False,False,False,False
8,2212253.164556962,2258000.0,225.76559448242188,-29.765600204467773,97.7656021118164,-29.765600204467773,False,False,False,False
9,2222784.810126582,2258000.0,226.76559448242188,-29.765600204467773,97.7656021118164,-29.765600204467773,False,False,False,False
10,2233316.4556962023,2258000.0,226.76559448242188,-29.765600204467773,97.7656021118164,-29.765600204467773,False,False,False,False
11,2243848.101265823,2258000.0,226.76559448242188,13.234399795532227,97.6948013305664,108.2343978881836,False,False,False,False
12,2254379.746835443,2258000.0,227.6551971435547,14.344799995422363,96.6552963256836,107.9041976928711,False,False,False,False
13,2264911.3924050634,2258000.0,226.91140747070312,17.0,95.0,109.0,False,False,False,False
14,2275443.0379746836,2258000.0,227.0,18.0,95.0,109.0,False,False,False,False
15,2285974.6835443038,2258000.0,228.0,19.0,95.0,109.0,False,False,False,False
16,2296506.329113924,2258000.0,229.0,20.0,95.0,109.0,False,False,False,False
17,2307037.974683544,2258000.0,230.0,21.0,95.0,108.01100158691406,False,False,False,False
18,2317569.6202531643,2258000.0,230.3551025390625,22.0,95.0,108.0,False,False,False,False
19,2328101.265822785,2258000.0,231.0,22.990999221801758,96.0,107.49520111083984,False,False,False,False
20,2338632.911392405,2258000.0,231.0,24.0,96.0,107.0,False,False,False,False
21,2349164.5569620254,2258000.0,231.99969482421875,25.0,97.0,106.0,False,False,False,False
22,2359696.2025316455,2258000.0,232.0,26.0,98.0,105.12830352783203,False,False,False,False
23,2370227.8481012657,2258000.0,232.0,28.0,99.0,105.002197265625,False,False,False,False
24,2380759.493670886,2258000.0,233.0,29.0,99.0,106.0,False,False,False,False
25,2391291.139240506,2258000.0,234.0,31.0,99.0,107.0,False,False,False,False
26,2401822.7848101268,2258000.0,235.0,31.0,99.0,107.0,False,False,False,False
27,2412354.430379747,2258000.0,235.0,30.749099731445312,99.0,105.0,False,False,False,False
28,2422886.075949367,2258000.0,236.0,29.0,99.0,103.0,False,False,False,False
29,2433417.7215189873,2258000.0,236.0,28.0,99.0,101.0,False,False,False,False
30,2443949.3670886075,2258000.0,236.0,27.0,100.0,99.0,False,False,False,False
31,2454481.0126582277,2258000.0,237.0,25.0,99.16339874267578,97.0,False,False,False,False
32,2465012.658227848,2258000.0,237.0,24.0,99.0,96.0,False,False,False,False
33,2475544.3037974685,2258000.0,238.0,23.516799926757812,99.0,96.0,False,False,False,False
34,2486075.9493670887,2258000.0,238.83619689941406,23.0,99.0,95.0,False,False,False,False
35,2496607.594936709,2258000.0,239.9998016357422,22.0,99.0,95.0,False,False,False,False
36,2507139.240506329,2258000.0,241.0,22.0,98.0,95.0,False,False,False,False
37,2517670.8860759493,2258000.0,242.0,22.0,97.0,95.0,False,False,False,False
38,2528202.5316455695,2258000.0,243.0,22.0,96.0,95.0,False,False,False,False
39,2538734.1772151897,2258000.0,244.99989318847656,22.0,96.0,95.0,False,False,False,False
40,2549265.8227848103,2258000.0,246.0,22.0,95.0,95.0,False,False,False,False
41,2559797.4683544305,2258000.0,247.0,22.0,94.0,96.0,False,False,False,False
42,2570329.1139240507,2258000.0,247.0,22.0,94.0,96.0,False,False,False,False
43,2580860.759493671,2258000.0,248.0,22.0,94.0,96.87930297851562,False,False,False,False
44,2591392.405063291,2258000.0,248.0,22.0,94.0,97.0,False,False,False,False
45,2601924.0506329113,2258000.0,248.0,22.0,94.37950134277344,97.0,False,False,False,False
46,2612455.6962025315,2258000.0,251.1649932861328,16.834999084472656,99.16510009765625,91.00890350341797,False,False,False,True
47,2622987.341772152,2258000.0,250.54249572753906,14.816800117492676,100.04959869384766,83.82080078125,False,False,False,True
48,2633518.9873417723,2258000.0,249.41859436035156,13.921699523925781,100.07830047607422,74.92169952392578,False,False,False,False
49,2644050.6329113925,2258000.0,248.93539428710938,12.064599990844727,101.9354019165039,66.05989837646484,False,False,False,False
50,2654582.2784810127,2258000.0,248.9553985595703,10.044599533081055,103.95539855957031,57.04460144042969,False,False,False,False
51,2665113.924050633,2258000.0,248.5970001220703,7.4029998779296875,106.59700012207031,49.40299987792969,False,False,False,False
52,2675645.569620253,2258000.0,239.0,13.0,101.0,51.73249816894531,False,False,False,False
53,2686177.2151898732,2258000.0,237.0,12.0,102.0,47.0,False,False,False,False
54,2696708.860759494,2258000.0,236.0,12.0,103.0,44.0,False,False,False,False
55,2707240.506329114,2258000.0,235.0,12.0,103.0,43.0,False,False,False,False
56,2717772.1518987343,2258000.0,234.01019287109375,13.0,103.0,43.0,False,False,False,False
57,2728303.7974683545,2258000.0,234.0,14.0,102.0,43.22309875488281,False,False,False,False
58,2738835.4430379746,2258000.0,234.45370483398438,14.546299934387207,101.45369720458984,44.54629898071289,False,False,False,False
59,2749367.088607595,2258000.0,235.76559448242188,15.234399795532227,101.7656021118164,45.23440170288086,False,False,False,False
60,2759898.734177215,2258000.0,235.76559448242188,17.234399795532227,100.7656021118164,47.23440170288086,False,False,False,False
61,2770430.3797468357,2258000.0,235.76559448242188,18.267799377441406,100.7656021118164,50.23440170288086,False,False,False,False
62,2780962.025316456,2258000.0,235.76559448242188,20.234399795532227,99.7656021118164,53.23440170288086,False,False,False,False
63,2791493.670886076,2258000.0,235.76559448242188,22.234399795532227,99.7656021118164,56.23440170288086,False,False,False,False
64,2802025.3164556962,2258000.0,235.76559448242188,24.234399795532227,98.7656021118164,59.23440170288086,False,False,False,False
65,2812556.9620253164,2258000.0,234.76559448242188,26.105899810791016,98.7656021118164,62.23899841308594,False,False,False,False
66,2823088.6075949366,2258000.0,234.0388946533203,27.234399795532227,99.7656021118164,66.2343978881836,False,False,False,False
67,2833620.253164557,2258000.0,233.76559448242188,29.234399795532227,99.7656021118164,69.2343978881836,False,False,False,False
68,2844151.8987341775,2258000.0,232.76559448242188,31.234399795532227,99.7656021118164,72.2343978881836,False,False,False,False
69,2854683.5443037977,2258000.0,231.76559448242188,32.23440170288086,100.7656021118164,75.2343978881836,False,False,False,False
70,2865215.189873418,2258000.0,230.76559448242188,34.23440170288086,101.7656021118164,78.2343978881836,False,False,False,False
71,2875746.835443038,2258000.0,228.76559448242188,35.23440170288086,102.7656021118164,80.2343978881836,False,False,False,False
72,2886278.481012658,2258000.0,227.76559448242188,37.23440170288086,104.7656021118164,83.22419738769531,False,False,False,False
73,2896810.1265822784,2258000.0,225.76559448242188,39.23440170288086,105.7656021118164,85.2343978881836,False,False,False,False
74,2907341.7721518986,2258000.0,224.76559448242188,40.23440170288086,106.7656021118164,87.23429870605469,False,False,False,False
75,2917873.4177215192,2258000.0,222.76559448242188,42.23440170288086,108.7656021118164,88.2343978881836,False,False,False,False
76,2928405.0632911394,2258000.0,220.76559448242188,44.23440170288086,109.7656021118164,90.2343978881836,False,False,False,False
77,2938936.7088607596,2258000.0,219.76480102539062,45.23440170288086,111.7656021118164,91.2343978881836,False,False,False,False
78,2949468.35443038,2258000.0,217.76559448242188,47.23440170288086,113.7656021118164,93.1448974609375,False,False,False,False
79,2960000.0,2258000.0,215.76559448242188,49.23440170288086,114.7656021118164,94.2343978881836,False,False,False,False
80,2128000.0,2265164.5569620254,223.76559448242188,-29.765600204467773,100.7656021118164,-29.765600204467773,False,False,False,False
81,2138531.64556962,2265164.5569620254,224.76559448242188,-29.765600204467773,99.7656021118164,-29.765600204467773,False,False,False,False
82,2149063.2911392404,2265164.5569620254,225.07960510253906,-29.765600204467773,99.7656021118164,-29.765600204467773,False,False,False,False
83,2159594.9367088606,2265164.5569620254,225.76559448242188,-29.765600204467773,98.7656021118164,-29.765600204467773,False,False,False,False
84,2170126.582278481,2265164.5569620254,226.76559448242188,-29.765600204467773,98.7656021118164,-29.765600204467773,False,False,False,False
85,2180658.2278481014,2265164.5569620254,226.76559448242188,-29.765600204467773,97.7656021118164,-29.765600204467773,False,False,False,False
86,2191189.8734177216,2265164.5569620254,226.76559448242188,-29.765600204467773,97.7656021118164,-29.765600204467773,False,False,False,False
87,2201721.518987342,2265164.5569620254,227.76559448242188,-29.765600204467773,97.7656021118164,-29.765600204467773,False,False,False,False
88,2212253.164556962,2265164.5569620254,227.76559448242188,-29.765600204467773,96.7656021118164,-29.765600204467773,False,False,False,False
89,2222784.810126582,2265164.5569620254,227.76559448242188,-29.765600204467773,96.7656021118164,-29.765600204467773,False,False,False,False
90,2233316.4556962023,2265164.5569620254,227.76710510253906,-29.765600204467773,96.7656021118164,-29.765600204467773,False,False,False,False
91,2243848.101265823,2265164.5569620254,228.76559448242188,13.234399795532227,96.7656021118164,105.2343978881836,False,False,False,False
92,2254379.746835443,2265164.5569620254,228.76559448242188,14.234399795532227,96.7656021118164,104.2343978881836,False,False,False,False
93,2264911.3924050634,2265164.5569620254,229.76559448242188,14.640399932861328,95.7656021118164,104.2343978881836,False,False,False,False
94,2275443.0379746836,2265164.5569620254,230.76559448242188,15.234399795532227,95.7656021118164,104.2343978881836,False,False,False,False
95,2285974.6835443038,2265164.5569620254,231.76559448242188,16.234399795532227,95.7656021118164,104.2343978881836,False,False,False,False
96,2296506.329113924,2265164.5569620254,232.76559448242188,17.234399795532227,95.7656021118164,103.34770202636719,False,False,False,False
97,2307037.974683544,2265164.5569620254,233.76559448242188,18.234399795532227,95.7656021118164,103.2343978881836,False,False,False,False
98,2317569.6202531643,2265164.5569620254,233.76559448242188,19.234399795532227,95.7656021118164,103.2343978881836,False,False,False,False
99,2328101.265822785,2265164.5569620254,234.76559448242188,19.972200393676758,95.779296875,102.2343978881836,False,False,False,False
100,2338632.911392405,2265164.5569620254,234.76559448242188,21.234399795532227,96.7656021118164,101.3093032836914,False,False,False,False
101,2349164.5569620254,2265164.5569620254,234.76559448242188,22.234399795532227,97.7656021118164,101.2343978881836,False,False,False,False
102,2359696.2025316455,2265164.5569620254,234.76559448242188,23.234399795532227,98.7656021118164,100.2343978881836,False,False,False,False
103,2370227.8481012657,2265164.5569620254,235.76559448242188,25.234399795532227,99.7656021118164,100.15190124511719,False,False,False,False
104,2380759.493670886,2265164.5569620254,235.76559448242188,27.234399795532227,99.7656021118164,101.2343978881836,False,False,False,False
105,2391291.139240506,2265164.5569620254,236.7664031982422,28.234399795532227,99.7656021118164,103.2343978881836,False,False,False,False
106,2401822.7848101268,2265164.5569620254,237.76559448242188,29.234399795532227,99.7656021118164,102.97920227050781,False,False,False,False
107,2412354.430379747,2265164.5569620254,238.76559448242188,28.234399795532227,100.52200317382812,101.16840362548828,False,False,False,False
108,2422886.075949367,2265164.5569620254,238.76559448242188,26.853500366210938,100.7656021118164,98.2343978881836,False,False,False,False
109,2433417.7215189873,2265164.5569620254,239.62750244140625,25.234399795532227,100.7656021118164,95.2343978881836,False,False,False,False
110,2443949.3670886075,2265164.5569620254,239.76559448242188,24.234399795532227,100.7656021118164,93.2343978881836,False,False,False,False
111,2454481.0126582277,2265164.5569620254,239.76559448242188,22.234399795532227,100.7656021118164,92.2343978881836,False,False,False,False
112,2465012.658227848,2265164.5569620254,239.76559448242188,21.234399795532227,100.7656021118164,91.2343978881836,False,False,False,False
113,2475544.3037974685,2265164.5569620254,240.76559448242188,21.234399795532227,100.7656021118164,90.2343978881836,False,False,False,False
114,2486075.9493670887,2265164.5569620254,240.76559448242188,20.234399795532227,100.7656021118164,90.2343978881836,False,False,False,False
115,2496607.594936709,2265164.5569620254,242.64739990234375,19.234399795532227,100.7656021118164,90.2343978881836,False,False,False,False
116,2507139.240506329,2265164.5569620254,243.76559448242188,19.234399795532227,99.7656021118164,90.2343978881836,False,False,False,False
117,2517670.8860759493,2265164.5569620254,244.76559448242188,19.234399795532227,98.7656021118164,90.2343978881836,False,False,False,False
118,2528202.5316455695,2265164.5569620254,246.76559448242188,19.234399795532227,97.7656021118164,90.2343978881836,False,False,False,False
119,2538734.1772151897,2265164.5569620254,247.76559448242188,19.234399795532227,96.7656021118164,90.2343978881836,False,False,False,False
120,2549265.8227848103,2265164.5569620254,248.76559448242188,20.234399795532227,96.6937026977539,90.2385025024414,False,False,False,False
121,2559797.4683544305,2265164.5569620254,249.76559448242188,20.234399795532227,95.7656021118164,91.2343978881836,False,False,False,False
122,2570329.1139240507,2265164.5569620254,250.76559448242188,20.234399795532227,95.7656021118164,91.25330352783203,False,False,False,False
123,2580860.759493671,2265164.5569620254,250.76559448242188,21.234399795532227,95.7656021118164,92.2343978881836,False,False,False,False
124,2591392.405063291,2265164.5569620254,251.1802978515625,21.234399795532227,95.7656021118164,93.2343978881836,False,False,False,False
125,2601924.0506329113,2265164.5569620254,250.76559448242188,20.234399795532227,95.7656021118164,94.2343978881836,False,False,False,True
126,2612455.6962025315,2265164.5569620254,251.26400756835938,19.736000061035156,96.26399993896484,93.73600006103516,False,False,False,True
127,2622987.341772152,2265164.5569620254,254.82369995117188,9.93179988861084,106.57579803466797,82.46160125732422,False,True,False,True
128,2633518.9873417723,2265164.5569620254,249.77870178222656,16.22130012512207,97.77870178222656,74.22129821777344,False,False,False,False
129,2644050.6329113925,2265164.5569620254,250.21240234375,13.787599563598633,100.21240234375,63.787601470947266,False,False,False,False
130,2654582.2784810127,2265164.5569620254,250.3574981689453,11.636899948120117,102.36309814453125,55.63690185546875,False,False,False,False
131,2665113.924050633,2265164.5569620254,249.24859619140625,8.751399993896484,104.24859619140625,48.07849884033203,False,False,False,False
132,2675645.569620253,2265164.5569620254,242.76559448242188,12.234399795532227,100.7656021118164,47.23440170288086,False,False,False,False
133,2686177.2151898732,2265164.5569620254,240.76559448242188,11.234399795532227,101.7656021118164,43.23440170288086,False,False,False,False
134,2696708.860759494,2265164.5569620254,239.76559448242188,11.089200019836426,102.7656021118164,41.23249816894531,False,False,False,False
135,2707240.506329114,2265164.5569620254,238.76559448242188,11.234399795532227,102.7656021118164,39.23440170288086,False,False,False,False
136,2717772.1518987343,2265164.5569620254,237.76559448242188,11.234399795532227,102.7656021118164,39.23440170288086,False,False,False,False
137,2728303.7974683545,2265164.5569620254,237.76559448242188,12.234399795532227,101.7656021118164,40.23440170288086,False,False,False,False
138,2738835.4430379746,2265164.5569620254,237.76559448242188,14.234399795532227,100.7656021118164,41.23440170288086,False,False,False,False
139,2749367.088607595,2265164.5569620254,237.76559448242188,15.234399795532227,100.7656021118164,43.23440170288086,False,False,False,False
140,2759898.734177215,2265164.5569620254,237.76559448242188,17.234399795532227,99.7656021118164,45.234901428222656,False,False,False,False
141,2770430.3797468357,2265164.5569620254,236.76559448242188,19.234399795532227,98.7656021118164,48.23440170288086,False,False,False,False
142,2780962.025316456,2265164.5569620254,236.76559448242188,20.234399795532227,98.7656021118164,51.23440170288086,False,False,False,False
143,2791493.670886076,2265164.5569620254,236.76559448242188,22.234399795532227,98.7656021118164,54.23440170288086,False,False,False,False
144,2802025.3164556962,2265164.5569620254,236.76559448242188,24.234399795532227,97.7656021118164,58.14070129394531,False,False,False,False
145,2812556.9620253164,2265164.5569620254,235.76559448242188,26.234399795532227,97.87909698486328,61.23440170288086,False,False,False,False
146,2823088.6075949366,2265164.5569620254,235.7418975830078,27.234399795532227,98.7656021118164,64.2343978881836,False,False,False,False
147,2833620.253164557,2265164.5569620254,234.76559448242188,29.234399795532227,98.7656021118164,67.26609802246094,False,False,False,False
148,2844151.8987341775,2265164.5569620254,233.76559448242188,31.234399795532227,99.7656021118164,71.2343978881836,False,False,False,False
149,2854683.5443037977,2265164.5569620254,232.76559448242188,32.23440170288086,100.7656021118164,74.2343978881836,False,False,False,False
150,2865215.189873418,2265164.5569620254,231.13180541992188,34.23440170288086,101.7656021118164,76.2343978881836,False,False,False,False
151,2875746.835443038,2265164.5569620254,229.76559448242188,35.23440170288086,102.7656021118164,79.2343978881836,False,False,False,False
152,2886278.481012658,2265164.5569620254,228.76559448242188,37.23440170288086,103.7656021118164,81.2343978881836,False,False,False,False
153,2896810.1265822784,2265164.5569620254,226.76559448242188,38.32099914550781,105.7656021118164,83.2343978881836,False,False,False,False
154,2907341.7721518986,2265164.5569620254,224.76559448242188,40.23440170288086,106.7656021118164,85.2343978881836,False,False,False,False
155,2917873.4177215192,2265164.5569620254,223.76559448242188,42.23440170288086,108.7656021118164,87.2343978881836,False,False,False,False
156,2928405.0632911394,2265164.5569620254,221.76559448242188,43.23440170288086,109.7656021118164,88.2343978881836,False,False,False,False
157,2938936.7088607596,2265164.5569620254,219.76559448242188,45.23440170288086,111.7656021118164,90.2343978881836,False,False,False,False
158,2949468.35443038,2265164.5569620254,217.76559448242188,47.23440170288086,113.7656021118164,91.2343978881836,False,False,False,False
159,2960000.0,2265164.5569620254,216.76559448242188,49.23440170288086,114.7656021118164,92.2343978881836,False,False,False,False
160,2128000.0,2272329.1139240507,225.76559448242188,0.23440000414848328,99.7656021118164,105.2343978881836,False,False,False,False
161,2138531.64556962,2272329.1139240507,225.76559448242188,1.2344000339508057,99.7656021118164,104.22380065917969,False,False,False,False
162,2149063.2911392404,2272329.1139240507,226.76559448242188,1.2344000339508057,98.7656021118164,102.2343978881836,False,False,False,False
163,2159594.9367088606,2272329.1139240507,227.76559448242188,2.2344000339508057,97.7656021118164,101.2343978881836,False,False,False,False
164,2170126.582278481,2272329.1139240507,227.76559448242188,3.2344000339508057,97.7656021118164,100.2343978881836,False,False,False,False
165,2180658.2278481014,2272329.1139240507,228.76559448242188,3.2344000339508057,96.89360046386719,99.2343978881836,False,False,False,False
166,2191189.8734177216,2272329.1139240507,228.76559448242188,-1.6806999444961548,96.7656021118164,75.96589660644531,False,False,False,False
167,2201721.518987342,2272329.1139240507,228.76559448242188,-29.765600204467773,96.7656021118164,-29.765600204467773,False,False,False,False
168,2212253.164556962,2272329.1139240507,229.76559448242188,-29.765600204467773,96.7656021118164,-29.765600204467773,False,False,False,False
169,2222784.810126582,2272329.1139240507,229.76559448242188,-29.765600204467773,96.7656021118164,-29.765600204467773,False,False,False,False
170,2233316.4556962023,2272329.1139240507,229.76559448242188,-29.765600204467773,95.7656021118164,-29.765600204467773,False,False,False,False
171,2243848.101265823,2272329.1139240507,229.76559448242188,12.234399795532227,95.7656021118164,102.2343978881836,False,False,False,False
172,2254379.746835443,2272329.1139240507,230.76559448242188,13.234399795532227,95.7656021118164,101.2343978881836,False,False,False,False
173,2264911.3924050634,2272329.1139240507,231.36410522460938,14.234399795532227,95.7656021118164,101.2343978881836,False,False,False,False
174,2275443.0379746836,2272329.1139240507,231.76559448242188,15.234399795532227,94.7656021118164,100.6615982055664,False,False,False,False
175,2285974.6835443038,2272329.1139240507,232.76620483398438,15.234399795532227,94.7656021118164,100.2343978881836,False,False,False,False
176,2296506.329113924,2272329.1139240507,234.5334930419922,16.234399795532227,94.7656021118164,100.2343978881836,False,False,False,False
177,2307037.974683544,2272329.1139240507,235.50100708007812,17.234399795532227,94.7656021118164,100.2343978881836,False,False,False,False
178,2317569.6202531643,2272329.1139240507,235.76559448242188,18.234399795532227,94.7656021118164,99.2343978881836,False,False,False,False
179,2328101.265822785,2272329.1139240507,236.76559448242188,18.234399795532227,94.7656021118164,99.21720123291016,False,False,False,False
180,2338632.911392405,2272329.1139240507,236.76559448242188,19.234399795532227,95.7656021118164,98.2343978881836,False,False,False,False
181,2349164.5569620254,2272329.1139240507,236.76559448242188,21.234399795532227,96.7656021118164,97.2343978881836,False,False,False,False
182,2359696.2025316455,2272329.1139240507,236.76559448242188,22.234399795532227,97.7656021118164,96.2343978881836,False,False,False,False
183,2370227.8481012657,2272329.1139240507,236.76559448242188,23.234399795532227,98.7656021118164,95.69550323486328,False,False,False,False
