is_reliable,survey_date,latitude,longitude,lat_lng_accuracy,total_count,vic_x,vic_y,within_built_up_area,within_forest_u2,within_water_area,within_public_land_su3,jan_rainfaull,jan_max_temp,july_rainfall,july_max_temp,LandSat_1,LandSat_2,LandSat_3,LandSat_4,LandSat_5,LandSat_6,LandSat_7,LandSat_8
True,11/MAY/2004,-37.9858,145.75948,100,,2566718,2390334,False,True,False,False,296.1968,22.2064,77.1427,44.5146,2929.888,2193.8113,1.379415,1.2203661,1.3759758,1.2018065,1.3741511,1.1930877
True,05/MAY/1991,-37.61093,145.2038,100,1,2517992,2432186,False,False,False,False,297.886,12.1289,80.7115,24.1412,2087.8872,1969.6683,1.2625821,1.1944296,1.2521423,1.1852411,1.2520021,1.1877341
True,18/MAR/1993,-37.36806,141.39159,100,1,2180482,2453102,False,False,False,False,291.1788,-2.873,67.873,55.1856,1865.2582,2088.2983,1.236419,1.2174512,1.2765682,1.1924714,1.2875432,1.191109
True,09/APR/1993,-38.35748,142.45097,100,6,2277201,2346358,True,False,False,False,256.0917,6.1418,85.0939,59.5612,2228.5674,1944.6248,1.2708783,1.151287,1.2715944,1.1644202,1.2740746,1.1619083
True,19/AUG/1994,-37.82444,144.97709,100,2,2497983,2408509,True,False,False,False,288.2549,16.972,80.1535,20.973,2323.3433,1657.0853,1.3259267,1.1575857,1.2885512,1.1442418,1.274875,1.1391296
True,19/AUG/1994,-37.82444,144.97709,100,2,2497983,2408509,True,False,False,False,288.2549,16.972,80.1535,20.973,2323.3433,1657.0853,1.3259267,1.1575857,1.2885512,1.1442418,1.274875,1.1391296
True,19/APR/1995,-37.73893,145.14737,100,10,2512988,2417990,False,False,False,False,298.2203,13.5232,83.5024,20.3085,2306.7622,2372.8687,1.2635537,1.20422,1.2700399,1.1859767,1.2782682,1.1883327
True,30/JUN/1997,-36.97853,145.7131,100,1,2563481,2502144,False,False,False,False,317.8887,-0.1331,65.8945,39.3946,2263.4395,2557.365,1.2367224,1.2134699,1.23212,1.2077857,1.2292601,1.2084635
True,11/SEP/1998,-38.54711,143.96012,100,1,2409330,2327792,False,True,False,True,262.8093,8.1907,90.2576,61.9139,2420.856,1385.1079,1.3851249,1.1703975,1.346404,1.1482501,1.3584418,1.1462127
True,05/APR/2000,-37.73583,145.06688,100,2,2505894,2418342,True,False,False,False,296.5547,14.6997,83.1568,17.9331,2261.5164,1700.3593,1.3166791,1.1727344,1.2950113,1.1709657,1.2747707,1.1567101
