UFI,TAXON_ID,SCIENTIFIC_DISPLAY_NME,COMMON_NME,TAXON_TYPE,RELIABILITY,RATING_INT,RELIABILITY_TXT,REVIEW_COMMENT_TXT,SAMPLING_METHOD_DESC,SURVEY_START_DATE,LATITUDEDD_NUM,LONGITUDEDD_NUM,LAT_LONG_ACCURACYDD_INT,TOTAL_COUNT_INT,BEHAVIOUR,EXTRA_INFORMATION,RECORD_TYPE,PRIMARY_CDE,SV_RECORD_COUNT,STATE_CDE,LGA_UFI,CMA_NO,PARK_ID,SURVEY_ID,SITE_ORIGIN_STATUS_CDE,CREATION_TSP
8916258,504391,Leucopogon virgatus var. virgatus,Common Beard-heath,Dicotyledons,,,,,Quadrat,31/OCT/2017,-38.06863,141.2735,5,,,,Seen,FLORA,1,VIC,323,3,3300,1699916,,28/MAR/18 05:04:18.488000000 PM
746243,504391,Leucopogon virgatus var. virgatus,Common Beard-heath,Dicotyledons,Acceptable,0,,,Quadrat,23/FEB/1999,-37.38667,141.08833,15,,,,,FLORA,63,VIC,371,3,,250085,,16/AUG/11 12:00:00.000000000 AM
1117408,504391,Leucopogon virgatus var. virgatus,Common Beard-heath,Dicotyledons,Acceptable,0,,auto review from accepted distrib,Quadrat,09/APR/2008,-38.06278,147.55167,15,,,,,FLORA,28,VIC,370,9,,262189,,16/AUG/11 12:00:00.000000000 AM
2000073,504391,Leucopogon virgatus var. virgatus,Common Beard-heath,Dicotyledons,Acceptable,0,,,Quadrat,10/DEC/1998,-38.07167,147.52472,15,,,,,FLORA,36,VIC,370,9,3362,392345,,16/AUG/11 12:00:00.000000000 AM
2000511,504391,Leucopogon virgatus var. virgatus,Common Beard-heath,Dicotyledons,Acceptable,0,,,Quadrat,22/JAN/1999,-38.15528,147.42389,15,,,,,FLORA,26,VIC,370,9,3362,392362,,16/AUG/11 12:00:00.000000000 AM
2000884,504391,Leucopogon virgatus var. virgatus,Common Beard-heath,Dicotyledons,Acceptable,0,,,Quadrat,03/FEB/1999,-38.12611,147.45333,15,,,,,FLORA,29,VIC,370,9,3362,392376,,16/AUG/11 12:00:00.000000000 AM
2001093,504391,Leucopogon virgatus var. virgatus,Common Beard-heath,Dicotyledons,Acceptable,0,,,Quadrat,16/FEB/1999,-38.06194,147.55806,15,,,,,FLORA,34,VIC,370,9,,392384,,16/AUG/11 12:00:00.000000000 AM
2001996,504391,Leucopogon virgatus var. virgatus,Common Beard-heath,Dicotyledons,Acceptable,0,,,Quadrat,15/MAY/1999,-38.15083,147.4225,15,,,,,FLORA,27,VIC,370,9,3362,392420,,16/AUG/11 12:00:00.000000000 AM
2003995,504391,Leucopogon virgatus var. virgatus,Common Beard-heath,Dicotyledons,Acceptable,0,,,Quadrat,07/DEC/2000,-38.12333,147.46778,15,,,,,FLORA,23,VIC,370,9,3362,392495,,16/AUG/11 12:00:00.000000000 AM
8226322,504391,Leucopogon virgatus var. virgatus,Common Beard-heath,Dicotyledons,Acceptable,0,,auto review from acc dist,Species List for Defined Area,08/SEP/2014,-37.56436,145.256035,125,,,,Seen,FLORA,100,VIC,356,7,,1223841,,23/JUN/16 03:46:43.216000000 PM
8565885,504391,Leucopogon virgatus var. virgatus,Common Beard-heath,Dicotyledons,Acceptable,0,,"VBA admin added 0 rating 12/10/2017 VBA admin auto approved 08/02/18, within accepted distribution",Quadrat,24/NOV/2016,-38.171207,147.392783,3,,,,Seen,FLORA,25,VIC,370,9,3362,1394661,,21/JUL/17 04:58:23.647000000 PM
8565966,504391,Leucopogon virgatus var. virgatus,Common Beard-heath,Dicotyledons,Acceptable,0,,"VBA admin added 0 rating 12/10/2017 VBA admin auto approved 08/02/18, within accepted distribution",Quadrat,24/NOV/2016,-38.162852,147.406265,4,,,,Seen,FLORA,26,VIC,370,9,3362,1394664,,21/JUL/17 04:58:33.569000000 PM
8914898,504391,Leucopogon virgatus var. virgatus,Common Beard-heath,Dicotyledons,,,,,Quadrat,02/NOV/2017,-37.20388,142.34239,5,,,,Seen,FLORA,1,VIC,357,3,3316,1698058,,28/MAR/18 03:18:14.488000000 PM
741352,504391,Leucopogon virgatus var. virgatus,Common Beard-heath,Dicotyledons,Acceptable,0,,,Quadrat,05/DEC/1998,-38.19861,141.88056,15,,,,,FLORA,62,VIC,354,3,,249972,,16/AUG/11 12:00:00.000000000 AM
1999834,504391,Leucopogon virgatus var. virgatus,Common Beard-heath,Dicotyledons,Acceptable,0,,,Quadrat,09/DEC/1998,-38.07056,147.52444,15,,,,,FLORA,28,VIC,370,9,3362,392337,,16/AUG/11 12:00:00.000000000 AM
