UFI,TAXON_ID,SCIENTIFIC_DISPLAY_NME,COMMON_NME,TAXON_TYPE,RELIABILITY,RATING_INT,RELIABILITY_TXT,REVIEW_COMMENT_TXT,SAMPLING_METHOD_DESC,SURVEY_START_DATE,LATITUDEDD_NUM,LONGITUDEDD_NUM,LAT_LONG_ACCURACYDD_INT,TOTAL_COUNT_INT,BEHAVIOUR,EXTRA_INFORMATION,RECORD_TYPE,PRIMARY_CDE,SV_RECORD_COUNT,STATE_CDE,LGA_UFI,CMA_NO,PARK_ID,SURVEY_ID,SITE_ORIGIN_STATUS_CDE,CREATION_TSP
5614852,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,0,,,Incidental,15/SEP/2006,-34.50682,141.62282,100,1,,,Seen,FAUNA,6,VIC,345,1,,931109,,16/AUG/11 12:00:00.000000000 AM
5614851,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,0,High reliability,,Incidental,15/SEP/2006,-34.50682,141.62282,100,1,,,Heard,FAUNA,6,VIC,345,1,,931109,,16/AUG/11 12:00:00.000000000 AM
7812441,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,,High reliability,Candidate record HDM 2015,Birds Australia 2ha search,18/NOV/2007,-34.50833,141.55082,100,1,,,Observation,FAUNA,9,VIC,345,,168,1199435,,03/JUN/16 02:02:30.000000000 PM
3956780,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Unconfirmed,4,,,General observations,07/FEB/1993,-37.69853,145.54423,100,,,,Observation,FAUNA,50,VIC,377,7,,433728,,16/AUG/11 12:00:00.000000000 AM
4040995,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,0,,,Bird transect,03/JUN/1997,-35.47621,141.95538,100,1,,,Seen,FAUNA,10,VIC,345,1,3309,451614,,16/AUG/11 12:00:00.000000000 AM
4040995,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,0,,,Bird transect,03/JUN/1997,-35.47621,141.95538,100,1,,,Seen,FAUNA,10,VIC,345,1,3309,451614,,16/AUG/11 12:00:00.000000000 AM
4040994,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,0,High reliability,,Bird transect,03/JUN/1997,-35.47621,141.95538,100,1,,,Seen,FAUNA,10,VIC,345,1,3309,451614,,16/AUG/11 12:00:00.000000000 AM
4040994,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,0,High reliability,,Bird transect,03/JUN/1997,-35.47621,141.95538,100,1,,,Seen,FAUNA,10,VIC,345,1,3309,451614,,16/AUG/11 12:00:00.000000000 AM
5614704,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,0,High reliability,,Bird transect,14/SEP/2006,-34.3886,141.41322,100,2,,,Seen,FAUNA,9,VIC,345,1,,931087,,16/AUG/11 12:00:00.000000000 AM
5614887,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,0,High reliability,,Incidental,17/SEP/2006,-35.44718,141.89265,100,2,,,Seen,FAUNA,2,VIC,345,1,3309,931123,,16/AUG/11 12:00:00.000000000 AM
6995961,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,,High reliability,Candidate record HDM 2015,Trap (unspecified),20/OCT/1999,-34.41667,141.43333,100,4,,,Captured and released,FAUNA,1,VIC,345,,352,1116858,,15/APR/16 11:12:40.000000000 AM
7016998,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,,High reliability,Candidate record HDM 2015,Trap (unspecified),27/NOV/1999,-34.41667,141.43333,100,2,,,Captured and released,FAUNA,1,VIC,345,,352,1124491,,15/APR/16 11:12:40.000000000 AM
9013115,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,0,,,Incidental,25/SEP/2018,-34.395321,141.379447,10,1,,,Heard,FAUNA,12,VIC,345,1,352,1747587,indig,12/JAN/19 11:06:39.274000000 AM
6269129,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Unconfirmed,,,Suspect wrong treecreeper species code used here.  Should be White-throated (VBA 10558). M.O'B,Timed bird census,03/AUG/2011,-38.008,145.66161,100,1,,,Heard,FAUNA,5,VIC,311,7,3329,991664,,22/AUG/13 09:44:32.371000000 AM
6269143,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Unconfirmed,,,Suspect wrong treecreeper species code used here.  Should be White-throated (VBA 10558). M.O'B,Timed bird census,30/JUN/2011,-38.00284,145.73796,100,1,,,Heard,FAUNA,7,VIC,311,7,3329,991667,,22/AUG/13 09:44:33.886000000 AM
6269142,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Unconfirmed,,,Suspect wrong treecreeper species code used here.  Should be White-throated (VBA 10558). M.O'B,Timed bird census,30/JUN/2011,-38.00284,145.73796,100,1,,,Heard,FAUNA,7,VIC,311,7,3329,991667,,22/AUG/13 09:44:33.886000000 AM
4265921,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,0,High reliability,,General observations,23/OCT/1993,-34.28337,142.24261,100,1,,,Observation,FAUNA,1,VIC,345,1,4887,505682,,16/AUG/11 12:00:00.000000000 AM
4874226,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,0,High reliability,,Birds Australia 5km area search,23/SEP/1999,-35.66446,142.08467,140,,,,Observation,FAUNA,18,VIC,378,1,234,889984,,16/AUG/11 12:00:00.000000000 AM
